SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017
157,09,005,43300,00000,00000,0,A,Litchfield borough,Connecticut,1258,1258,1257,1247,1241,1240,1231,1230,1213,1209
157,09,005,76500,00000,00000,0,A,Torrington city,Connecticut,36383,36383,36352,36153,35824,35647,35355,35070,34774,34538
157,09,005,99990,00000,00000,0,F,Balance of Litchfield County,Connecticut,151527,151526,151462,150920,149870,149426,148255,147309,146376,145699
061,09,005,00000,02760,00000,1,A,Barkhamsted town,Connecticut,3799,3799,3798,3784,3759,3743,3713,3697,3674,3651
061,09,005,00000,04930,00000,1,A,Bethlehem town,Connecticut,3607,3593,3592,3580,3552,3543,3504,3481,3459,3439
061,09,005,00000,08210,00000,1,A,Bridgewater town,Connecticut,1727,1727,1725,1715,1703,1697,1682,1669,1657,1644
061,09,005,00000,10940,00000,1,A,Canaan town,Connecticut,1234,1114,1113,1109,1102,1095,1085,1079,1069,1062
061,09,005,00000,16050,00000,1,A,Colebrook town,Connecticut,1485,1477,1476,1468,1456,1450,1439,1432,1422,1413
061,09,005,00000,17240,00000,1,A,Cornwall town,Connecticut,1420,1420,1419,1413,1401,1413,1402,1392,1384,1376
061,09,005,00000,32290,00000,1,A,Goshen town,Connecticut,2976,2976,2977,2968,2952,2946,2922,2918,2900,2888
061,09,005,00000,37280,00000,1,A,Harwinton town,Connecticut,5642,5642,5642,5637,5604,5597,5544,5509,5478,5452
061,09,005,00000,40290,00000,1,A,Kent town,Connecticut,2979,2979,2980,2974,2950,2938,2900,2847,2807,2800
061,09,005,00000,43370,00000,0,A,Litchfield town,Connecticut,8466,8466,8463,8423,8367,8352,8284,8255,8198,8168
071,09,005,02690,43370,00000,1,A,Bantam borough,Connecticut,759,759,758,756,750,749,744,740,734,731
071,09,005,43300,43370,00000,1,A,Litchfield borough,Connecticut,1258,1258,1257,1247,1241,1240,1231,1230,1213,1209
071,09,005,99990,43370,00000,1,F,Balance of Litchfield town,Connecticut,6449,6449,6448,6420,6376,6363,6309,6285,6251,6228
061,09,005,00000,49460,00000,1,A,Morris town,Connecticut,2388,2388,2388,2377,2358,2348,2324,2307,2292,2277
061,09,005,00000,51350,00000,1,A,New Hartford town,Connecticut,6970,6970,6974,6953,6907,6880,6826,6786,6745,6718
061,09,005,00000,52630,00000,1,A,New Milford town,Connecticut,28142,28142,28123,28049,27841,27753,27530,27347,27175,27099
061,09,005,00000,53470,00000,1,A,Norfolk town,Connecticut,1709,1709,1708,1702,1688,1683,1666,1656,1644,1642
061,09,005,00000,54030,00000,1,A,North Canaan town,Connecticut,3315,3435,3432,3407,3381,3378,3356,3331,3301,3279
061,09,005,00000,60750,00000,1,A,Plymouth town,Connecticut,12243,12243,12235,12188,12109,12061,11955,11875,11789,11718
061,09,005,00000,65930,00000,1,A,Roxbury town,Connecticut,2262,2259,2257,2249,2239,2227,2207,2194,2181,2171
061,09,005,00000,66420,00000,1,A,Salisbury town,Connecticut,3741,3741,3738,3724,3704,3702,3684,3655,3642,3623
061,09,005,00000,67960,00000,1,A,Sharon town,Connecticut,2782,2782,2781,2770,2756,2755,2731,2710,2732,2718
061,09,005,00000,75730,00000,1,A,Thomaston town,Connecticut,7887,7887,7883,7855,7800,7771,7709,7657,7623,7602
061,09,005,00000,76570,00000,0,C,Torrington town,Connecticut,36383,36383,36352,36153,35824,35647,35355,35070,34774,34538
071,09,005,76500,76570,00000,1,A,Torrington city,Connecticut,36383,36383,36352,36153,35824,35647,35355,35070,34774,34538
061,09,005,00000,79510,00000,1,A,Warren town,Connecticut,1461,1461,1460,1457,1448,1447,1435,1426,1417,1410
061,09,005,00000,79720,00000,1,A,Washington town,Connecticut,3578,3578,3577,3563,3541,3529,3504,3489,3470,3453
061,09,005,00000,80490,00000,1,A,Watertown town,Connecticut,22514,22527,22520,22444,22297,22246,22099,21994,21842,21740
061,09,005,00000,86440,00000,1,A,Winchester town,Connecticut,11242,11250,11242,11189,11091,11042,10985,10903,10814,10739
061,09,005,00000,87910,00000,1,A,Woodbury town,Connecticut,9975,9978,9974,9925,9855,9819,9744,9670,9608,9557
050,09,007,00000,00000,00000,0,N,Middlesex County,Connecticut,165676,165676,165625,166265,165519,165293,164717,163698,163433,163410
157,09,007,27810,00000,00000,0,A,Fenwick borough,Connecticut,43,43,43,43,43,43,43,43,44,44
157,09,007,47290,00000,00000,0,A,Middletown city,Connecticut,47648,47648,47645,47764,47391,47162,46936,46578,46556,46478
157,09,007,99990,00000,00000,0,F,Balance of Middlesex County,Connecticut,117985,117985,117937,118458,118085,118088,117738,117077,116833,116888
061,09,007,00000,14300,00000,1,A,Chester town,Connecticut,3994,3994,4025,4168,4243,4342,4308,4285,4259,4254
061,09,007,00000,15350,00000,1,A,Clinton town,Connecticut,13260,13258,13242,13258,13186,13174,13113,13024,12968,12957
061,09,007,00000,18080,00000,1,A,Cromwell town,Connecticut,14005,14005,14000,14122,14096,14110,14079,13994,13956,13956
061,09,007,00000,19130,00000,1,A,Deep River town,Connecticut,4629,4629,4623,4626,4605,4593,4557,4524,4501,4494
061,09,007,00000,20810,00000,1,A,Durham town,Connecticut,7388,7388,7382,7396,7367,7356,7333,7283,7245,7240
061,09,007,00000,22280,00000,1,A,East Haddam town,Connecticut,9126,9126,9123,9180,9152,9140,9124,9064,9030,9036
061,09,007,00000,22490,00000,1,A,East Hampton town,Connecticut,12959,12959,12955,13000,12934,12911,12872,12841,12884,12901
061,09,007,00000,26270,00000,1,A,Essex town,Connecticut,6683,6683,6677,6688,6647,6631,6614,6573,6545,6588
061,09,007,00000,35230,00000,1,A,Haddam town,Connecticut,8346,8346,8343,8389,8356,8360,8329,8284,8269,8264
061,09,007,00000,40710,00000,1,A,Killingworth town,Connecticut,6525,6525,6519,6527,6494,6488,6477,6436,6412,6401
061,09,007,00000,47080,00000,1,A,Middlefield town,Connecticut,4425,4425,4420,4436,4414,4419,4416,4396,4386,4393
061,09,007,00000,47360,00000,0,C,Middletown town,Connecticut,47648,47648,47645,47764,47391,47162,46936,46578,46556,46478
071,09,007,47290,47360,00000,1,A,Middletown city,Connecticut,47648,47648,47645,47764,47391,47162,46936,46578,46556,46478
061,09,007,00000,57320,00000,0,A,Old Saybrook town,Connecticut,10242,10242,10235,10257,10232,10226,10206,10132,10104,10132
071,09,007,27810,57320,00000,1,A,Fenwick borough,Connecticut,43,43,43,43,43,43,43,43,44,44
071,09,007,99990,57320,00000,1,F,Balance of Old Saybrook town,Connecticut,10199,10199,10192,10214,10189,10183,10163,10089,10060,10088
061,09,007,00000,61800,00000,1,A,Portland town,Connecticut,9508,9508,9499,9507,9484,9461,9445,9381,9370,9360
061,09,007,00000,81680,00000,1,A,Westbrook town,Connecticut,6938,6940,6937,6947,6918,6920,6908,6903,6948,6956
